DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
25-10-16,10:49 AM,FIAH AND VEG,190,CASH Spends,Yes,GROCERIES,,
25-10-16,11:01 AM,IRCTC,478.01,CitiBank credit 4456,Yes,TRAVEL,#Online,
25-10-16,11:33 PM,IBPS17006,714.06,CitiBank credit 4456,Yes,OTHER,#Online,
25-10-16,11:57 PM,SPENT,100,StanC credit 1570,Yes,MOBILE BILLS,,
26-10-16,11:02 AM,IRCTC,468,CitiBank credit 4456,Yes,TRAVEL,#Online,
26-10-16,12:44 PM,SNACKS,520,CASH Spends,Yes,FOOD & DRINKS,,
27-10-16,07:16 PM,SPENT ELECTRICITY BILL,675.56,StanC credit 1570,Yes,BILLS,,
28-10-16,10:32 PM,TOLL,65,CASH Spends,Yes,TRAVEL,,
29-10-16,11:05 AM,SRI GOWRI KRISHNA BA,760,CitiBank credit 4456,Yes,FOOD & DRINKS,,
29-10-16,06:09 PM,TOLL,83,CASH Spends,Yes,TRAVEL,,
30-10-16,08:33 AM,TOLL,65,CASH Spends,Yes,TRAVEL,,
30-10-16,06:50 PM,ATM,"1,000",CitiBank debit 8448,Yes,,,
30-10-16,08:46 PM,ELITE SUPERMARKET,486,CitiBank credit 4456,Yes,GROCERIES,,
31-10-16,12:00 AM,CHICKEN,140,CASH Spends,Yes,GROCERIES,,
31-10-16,12:01 AM,VEGIS,208,CASH Spends,Yes,GROCERIES,,
31-10-16,12:01 AM,GROCERY,318,CASH Spends,Yes,GROCERIES,,
31-10-16,12:00 PM,MAINTENANCE,"2,120",CASH Spends,Yes,BILLS,,
31-10-16,12:00 PM,RENT,"10,000",CASH Spends,Yes,BILLS,,
31-10-16,10:38 PM,RUKHMINI DHABA ( MANKLOLI DHABA),440,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-11-16,08:20 AM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
01-11-16,06:45 PM,AMAZON,769,CitiBank credit 4456,No,SHOPPING,#Online,
01-11-16,08:44 PM,ELITE SUPERMARKET,421,CitiBank credit 4456,Yes,GROCERIES,,
02-11-16,11:01 AM,IRCTC,478.92,CitiBank credit 4456,Yes,TRAVEL,#Online,
03-11-16,09:42 AM,HP PETROL PUMP - M.G.FUEL POINT,"2,230",CitiBank credit 4456,Yes,FUEL,,
04-11-16,11:02 AM,IRCTC,468.92,CitiBank credit 4456,No,TRAVEL,#Online,
04-11-16,11:09 AM,IRCTC,468.92,CitiBank credit 4456,No,TRAVEL,#Online,
04-11-16,11:22 AM,NET BANKING TRAIN TICKET BOOKING,480.42,HDFC  5463,No,UNKNOWN,,an online payment
04-11-16,07:24 PM,FISH,50,CASH Spends,Yes,GROCERIES,,
05-11-16,11:01 AM,IRCTC,"1,735.76",CitiBank credit 4456,No,TRAVEL,#Online,
05-11-16,11:09 AM,NET BANKING,"1,747.26",HDFC  5463,No,UNKNOWN,,an online payment
05-11-16,03:43 PM,DINING TABLE GLASS,"2,700",CASH Spends,Yes,BILLS,,
06-11-16,12:05 PM,SRI GOWRI KRISHNA BA,"1,120",CitiBank credit 4456,Yes,FOOD & DRINKS,,
07-11-16,01:25 PM,INDIAN RAILWAY,"-1,530",IRCTC Messages,No,TRAVEL,,Indian Railway refund
07-11-16,03:50 PM,TOLL,130,CASH Spends,Yes,TRAVEL,,
07-11-16,06:39 PM,VEGGIES,240,CASH Spends,Yes,GROCERIES,,
08-11-16,12:00 PM,CASH SPENT,325,CASH Spends,No,FOOD & DRINKS,,
08-11-16,06:01 PM,ATM,"4,000",CitiBank debit 8448,No,,,
09-11-16,09:22 PM,ELITE SUPERMARKET,275,HDFC credit 2721,Yes,GROCERIES,,
10-11-16,08:43 AM,CAR MAINTENANCE,"2,490",CASH Spends,Yes,BILLS,,
11-11-16,12:00 PM,MAID ADVANCE,"1,500",CASH Spends,Yes,BILLS,,
11-11-16,12:19 PM,BHARAT PETROL PUMP,"2,371",HDFC credit 2721,Yes,FUEL,,
11-11-16,02:39 PM,FOOD,181,CASH Spends,Yes,FOOD & DRINKS,,
11-11-16,02:40 PM,HOSPITAL OP,200,CASH Spends,Yes,HEALTH,,
11-11-16,06:06 PM,MING PALACE,170,HDFC credit 2721,Yes,FOOD & DRINKS,,
11-11-16,07:06 PM,ELITE SUPERMARKET,750,HDFC credit 2721,Yes,GROCERIES,,
12-11-16,11:02 AM,IRCTC,508.92,CitiBank credit 4456,Yes,TRAVEL,#Online,
12-11-16,12:56 PM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
13-11-16,10:53 PM,SPENT,"1,000",StanC credit 1570,No,UNKNOWN,,
14-11-16,08:58 AM,UBER,223.54,PAYTM  Unknown,No,TRAVEL,#Online,
14-11-16,12:49 PM,SPENT,1,StanC credit 1570,No,UNKNOWN,,
15-11-16,09:15 PM,AMAZON,399,CitiBank credit 4456,Yes,SHOPPING,#Online,
15-11-16,09:25 PM,MOBIKWIK,285,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
16-11-16,09:32 AM,AMAZON,-344,HDFC credit 2721,Yes,SHOPPING,#Online,
16-11-16,10:43 AM,AMAZON,"1,700",HDFC credit 2721,Yes,SHOPPING,#Online,
16-11-16,08:02 PM,SPENT,44.08,StanC credit 1570,No,UNKNOWN,,
16-11-16,08:56 PM,MOBIKWIK,154,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
17-11-16,10:40 AM,SPENT,40,StanC credit 1570,No,TRAVEL,,
17-11-16,08:19 PM,HOTEL RUNS,166.32,CitiBank credit 4456,Yes,FOOD & DRINKS,,
18-11-16,10:59 PM,DINNER,383.5,CASH Spends,Yes,FOOD & DRINKS,,
19-11-16,12:37 PM,SPENCER'S,508.65,CitiBank credit 4456,Yes,GROCERIES,,
19-11-16,04:44 PM,SPENT,88.72,StanC credit 1570,No,UNKNOWN,,
19-11-16,06:06 PM,XXXXXXX432,"10,000",HDFC  5463,No,UNKNOWN,,IMPS Ref no 632418753230
19-11-16,07:04 PM,UBER,167.92,PAYTM  Unknown,No,TRAVEL,#Online,
20-11-16,12:40 PM,KALYAN SILKS,"1,758",HDFC credit 2721,No,SHOPPING,,
20-11-16,02:14 PM,BHIMA AND BROTHER,"87,700",HDFC credit 2721,No,SHOPPING,,
21-11-16,10:46 AM,NET BANKING,"8,000",HDFC  5463,No,UNKNOWN,,TPT
22-11-16,08:04 PM,ELITE SUPERMARKET,"1,148",CitiBank credit 4456,Yes,GROCERIES,,
23-11-16,12:46 PM,MOBIKWIK,627,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
24-11-16,11:01 AM,IRCTC,455.92,CitiBank credit 4456,Yes,TRAVEL,#Online,
25-11-16,01:35 PM,AMAZON,760,CitiBank credit 4456,Yes,SHOPPING,#Online,
25-11-16,10:50 PM,TRAVANCORE FOOD,522,CitiBank credit 4456,Yes,FOOD & DRINKS,,
26-11-16,07:44 AM,CASH SPENT,212,CASH Spends,Yes,TRAVEL,,
26-11-16,08:17 AM,BSNLPOST,"1,374",CitiBank credit 4456,Yes,BILLS,,
26-11-16,12:01 PM,SEEMATTI,"7,350",CitiBank credit 4456,Yes,SHOPPING,,
26-11-16,12:10 PM,SEEMATTI,259,CitiBank credit 4456,Yes,SHOPPING,,
26-11-16,01:07 PM,BHIMA JEWELLERS,"33,450",CitiBank credit 4456,Yes,SHOPPING,,
27-11-16,08:46 PM,FISH,370,CASH Spends,Yes,GROCERIES,,
29-11-16,12:37 AM,AMAZON,343.03,CitiBank credit 4456,Yes,SHOPPING,#Online,
29-11-16,12:00 PM,FOOD,210,CASH Spends,Yes,ENTERTAINMENT,,
29-11-16,12:17 PM,BOOKMYSHOW,322.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
30-11-16,12:00 PM,MAINTENANCE,"2,290",CASH Spends,Yes,BILLS,,
30-11-16,12:00 PM,MILK,810,CASH Spends,Yes,BILLS,,
30-11-16,12:00 PM,RENT,"10,000",CASH Spends,Yes,BILLS,,
30-11-16,08:56 PM,VEGIES,200,CASH Spends,Yes,GROCERIES,,
30-11-16,09:20 PM,ELITE SUPERMARKET,"1,184",CitiBank credit 4456,Yes,GROCERIES,,
01-12-16,09:23 AM,PRIYA'S HOMEO CLINIC,"2,413.34",CitiBank credit 4456,Yes,FUEL,,
01-12-16,09:39 AM,SRI MU SARAVANA BHAVAN,148,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-12-16,01:07 PM,LUNCH,206,CASH Spends,Yes,FOOD & DRINKS,,
01-12-16,01:27 PM,SCAN,"1,000",CASH Spends,Yes,HEALTH,,
02-12-16,07:49 PM,ANALYSIS,100,CASH Spends,Yes,HEALTH,,
05-12-16,08:48 AM,GURUVAYOOR INFRASTRU,65,CitiBank credit 4456,Yes,TRAVEL,,
05-12-16,11:55 AM,PRIYA'S HOMEO CLINIC,500,CitiBank credit 4456,Yes,FUEL,,
05-12-16,08:12 PM,ELITE SUPERMARKET,"2,643",CitiBank credit 4456,Yes,GROCERIES,,
06-12-16,07:51 AM,KSEB,547.31,CitiBank credit 4456,Yes,BILLS,#Online,
06-12-16,09:54 AM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
07-12-16,10:54 PM,NET BANKING,65,HDFC  5463,Yes,MOBILE BILLS,,an online payment
08-12-16,12:00 PM,VEGETABLES,170,CASH Spends,Yes,GROCERIES,,
08-12-16,12:00 PM,BAI SALARY,500,CASH Spends,Yes,BILLS,,
08-12-16,12:00 PM,CHICKENS,163,CASH Spends,Yes,GROCERIES,,
09-12-16,07:03 PM,XXXXXXX016,"1,625",HDFC  5463,Yes,BILLS,,IMPS Ref no 634419782168. Car accident
10-12-16,12:08 PM,PETROL,"2,000.86",HDFC credit 2721,Yes,FUEL,,
10-12-16,12:46 PM,GURUVAYOOR INFRASTRUCT,65,HDFC credit 2721,Yes,TRAVEL,,
10-12-16,03:00 PM,KRISHNA PURE VEG HOTEL,330,HDFC credit 2721,Yes,FOOD & DRINKS,,
10-12-16,05:02 PM,FRESH AND MORE SUPERMAR,"1,805.04",HDFC credit 2721,Yes,SHOPPING,,
12-12-16,09:29 AM,GURUVAYOOR INFRASTRUCT,65,HDFC credit 2721,Yes,TRAVEL,,
12-12-16,10:15 AM,ELITE SUPERMARKET,"1,013",HDFC credit 2721,Yes,GROCERIES,,
13-12-16,12:05 PM,FLIPKART,"3,949",HDFC credit 2721,Yes,SHOPPING,#Online,
14-12-16,10:16 PM,VEGETABLES,120,CASH Spends,Yes,GROCERIES,,
14-12-16,10:19 PM,AUTO CHARGE,80,CASH Spends,Yes,TRAVEL,,
15-12-16,12:00 PM,BUS FARE,14,CASH Spends,Yes,TRAVEL,,
16-12-16,09:40 AM,AUTO CHARGE,80,CASH Spends,Yes,TRAVEL,,
16-12-16,10:05 AM,FREECHARGE,31,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
16-12-16,04:27 PM,VEGIES,120,CASH Spends,Yes,GROCERIES,,
16-12-16,04:28 PM,BREAD,28,CASH Spends,Yes,GROCERIES,,
17-12-16,12:00 PM,VEGIES,140,CASH Spends,Yes,GROCERIES,,
17-12-16,03:51 PM,BRD CAR WORLD LTD,"1,800",HDFC credit 2721,Yes,TRAVEL,,
17-12-16,07:38 PM,RELIANCE BILL,345,CASH Spends,Yes,MOBILE BILLS,,
17-12-16,07:39 PM,JIO SIM,100,CASH Spends,Yes,MOBILE BILLS,,
17-12-16,09:18 PM,VEGETABLES,140,CASH Spends,Yes,GROCERIES,,
18-12-16,10:26 AM,ELITE SUPERMARKET,"1,454",HDFC credit 2721,Yes,GROCERIES,,
18-12-16,10:26 AM,ELITE SUPERMARKET,"1,454",HDFC credit 2721,Yes,GROCERIES,,
18-12-16,10:26 AM,ELITE SUPERMARKET,"-1,454",HDFC credit 2721,Yes,GROCERIES,,
19-12-16,09:14 AM,SCB CARD-BILLDESK,"3,983",CitiBank debit 3018,No,BILLS,,
19-12-16,12:00 PM,VEGGIES,180,CASH Spends,Yes,GROCERIES,,
19-12-16,11:07 PM,THE VILLAGE,"1,097",HDFC credit 2721,Yes,FOOD & DRINKS,,
20-12-16,10:40 PM,FISH,170,CASH Spends,Yes,GROCERIES,,
20-12-16,10:41 PM,GROCERY,249,CASH Spends,Yes,GROCERIES,,
21-12-16,12:00 PM,VEGGIE,120,CASH Spends,Yes,GROCERIES,,
23-12-16,10:51 PM,MEDICAL,870,CASH Spends,Yes,HEALTH,,
23-12-16,10:52 PM,TOLL,65,CASH Spends,Yes,TRAVEL,,
25-12-16,12:00 PM,TOLL,65,CASH Spends,Yes,TRAVEL,,
25-12-16,12:00 PM,TEA,90,CASH Spends,Yes,FOOD & DRINKS,,
26-12-16,10:12 AM,NET BANKING,600,HDFC  0999,No,UNKNOWN,,TPT
26-12-16,10:13 AM,NET BANKING,"2,400",HDFC  5463,No,UNKNOWN,,TPT
26-12-16,09:17 PM,VEGIES,30,CASH Spends,Yes,GROCERIES,,
27-12-16,10:17 AM,BSNL BILL,"1,374",CASH Spends,Yes,BILLS,,
27-12-16,10:00 PM,PETROL,"2,453",CASH Spends,Yes,FUEL,,
28-12-16,12:00 PM,ELITE,"1,870",CASH Spends,Yes,GROCERIES,,
28-12-16,01:18 PM,BOOKMYSHOW,322.52,DBS debit 7501,Yes,ENTERTAINMENT,#Online,
30-12-16,10:01 PM,ANEESH KUMAR,100,PhonePe  Unknown,No,UNKNOWN,,
31-12-16,09:50 AM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
31-12-16,12:00 PM,MILK,743,CASH Spends,Yes,BILLS,,
31-12-16,12:00 PM,MAINTENANCE,"2,345",CASH Spends,Yes,BILLS,,
31-12-16,12:00 PM,RENT,"10,000",CASH Spends,Yes,BILLS,,
31-12-16,02:00 PM,BAI,"1,000",CASH Spends,Yes,BILLS,,
31-12-16,08:07 PM,INDIAN COFFEE HOUSE,465,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-01-17,08:05 AM,BEEF,200,CASH Spends,Yes,GROCERIES,,
01-01-17,02:26 PM,DRINKS,75,CASH Spends,Yes,GROCERIES,,
02-01-17,02:00 PM,KOTTARAM,158.36,CitiBank credit 4456,Yes,FOOD & DRINKS,,
02-01-17,10:15 PM,SAVOURY SEASHELL RES,460.76,CitiBank credit 4456,Yes,FOOD & DRINKS,,
03-01-17,12:00 PM,DINNER,254,CASH Spends,Yes,FOOD & DRINKS,,
03-01-17,12:00 PM,BREAKFAST,30,CASH Spends,Yes,FOOD & DRINKS,,
03-01-17,12:00 PM,LUNCH,70,CASH Spends,Yes,FOOD & DRINKS,,
04-01-17,02:18 PM,KOTTARAM,95,CitiBank credit 4456,Yes,FOOD & DRINKS,,
06-01-17,01:39 PM,GLOBAL GRILL,"2,830",HDFC credit 2721,No,FOOD & DRINKS,,
06-01-17,09:29 PM,THE ARAB STATION,150,HDFC credit 2721,Yes,FOOD & DRINKS,,
06-01-17,09:38 PM,THE ARAB STATION,80,HDFC credit 2721,No,FOOD & DRINKS,,
07-01-17,01:06 PM,KUTTANAD RESTAURANT,140.5,HDFC credit 2721,Yes,FOOD & DRINKS,,
07-01-17,04:54 PM,AJANABI,408,HDFC credit 2721,Yes,GROCERIES,,
08-01-17,02:53 PM,ELITE SUPERMARKET,584,HDFC credit 2721,Yes,GROCERIES,,
09-01-17,10:59 AM,TOLL,95,CASH Spends,Yes,TRAVEL,,
09-01-17,11:00 AM,BREAKFAST,94,CASH Spends,Yes,FOOD & DRINKS,,
09-01-17,01:19 PM,MOTHER HOSPITAL P LTD.,"1,505",CitiBank credit 4456,Yes,HEALTH,,
09-01-17,02:01 PM,MOTHER HOSPITAL P LTD.,"2,325",HDFC credit 2721,Yes,HEALTH,,
09-01-17,03:13 PM,SREE RADHAKRISHNA,430,HDFC credit 2721,Yes,FOOD & DRINKS,,
10-01-17,06:07 PM,PHYSICAN,150,CASH Spends,Yes,HEALTH,,
10-01-17,07:05 PM,OMEGA SUPER MARKET,863,HDFC credit 2721,Yes,GROCERIES,,
11-01-17,12:00 PM,VEGIES,110,CASH Spends,Yes,GROCERIES,,
11-01-17,12:00 PM,HORLICKS,475,CASH Spends,Yes,GROCERIES,,
12-01-17,02:10 PM,HOTEL RUKMINI A UNIT,560,HDFC credit 2721,Yes,FOOD & DRINKS,,
13-01-17,07:42 PM,ELITE SUPERMARKET,"1,088",HDFC credit 2721,Yes,GROCERIES,,
14-01-17,12:00 PM,OP FEE,150,CASH Spends,Yes,HEALTH,,
14-01-17,03:33 PM,PRIYA'S HOMEO CLINIC,200,HDFC credit 2721,Yes,FUEL,,
15-01-17,08:48 PM,VEGIES,138,CASH Spends,Yes,GROCERIES,,
15-01-17,09:14 PM,VEG,38,CASH Spends,Yes,GROCERIES,,
15-01-17,09:32 PM,MAID 2,200,CASH Spends,Yes,BILLS,,
16-01-17,12:00 PM,FOOD,500,CASH Spends,Yes,FOOD & DRINKS,,
17-01-17,11:55 PM,MAID 2,100,CASH Spends,Yes,BILLS,,
18-01-17,07:34 PM,ELITE SUPERMARKET,733,HDFC credit 2721,Yes,GROCERIES,,
20-01-17,01:38 PM,AMAZON,"3,000",HDFC credit 2721,Yes,SHOPPING,#Online,
21-01-17,04:34 PM,BAI,400,CASH Spends,Yes,BILLS,,
22-01-17,10:04 AM,ELITE SUPERMARKET,973,CitiBank credit 4456,Yes,GROCERIES,,
22-01-17,10:47 AM,PRIYAS,"2,399.94",CitiBank credit 4456,Yes,FUEL,,
22-01-17,10:49 AM,BREAKFAST,130,CASH Spends,Yes,FOOD & DRINKS,,
23-01-17,09:17 AM,NET BANKING,"5,000",HDFC  5463,No,UNKNOWN,,TPT
23-01-17,09:44 PM,BSNL,"1,364",CitiBank credit 4456,Yes,BILLS,,
24-01-17,11:03 AM,IRCTC,535,CitiBank credit 4456,No,TRAVEL,#Online,
25-01-17,01:45 PM,FREECHARGE,32.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
25-01-17,07:06 PM,FREECHARGE,349,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
25-01-17,09:08 PM,FISH AMS VEG,120,CASH Spends,Yes,GROCERIES,,
25-01-17,09:08 PM,TEA,131,CASH Spends,Yes,FOOD & DRINKS,,
26-01-17,01:07 AM,RIL,51,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
26-01-17,11:10 PM,SNACKS,210,CASH Spends,Yes,ENTERTAINMENT,,
27-01-17,04:17 PM,RELIANCE DIGITAL,51,CitiBank credit 4456,Yes,ENTERTAINMENT,,
27-01-17,04:17 PM,WWW.JIO.COM,51,JioMoney  Unknown,Yes,MOBILE BILLS,,201003803443
28-01-17,11:27 PM,VEGIES,68,CASH Spends,Yes,GROCERIES,,
29-01-17,07:11 PM,TOLL,90,CASH Spends,Yes,TRAVEL,,
29-01-17,07:12 PM,SNACKS,214,CASH Spends,Yes,GROCERIES,,
30-01-17,08:20 AM,LITTLE FLOWER HOSPIT,810,CitiBank credit 4456,Yes,HEALTH,,
30-01-17,10:28 AM,LITTLE FLOWER HOSPIT,"2,000",CitiBank credit 4456,Yes,HEALTH,,Insurance
30-01-17,12:00 PM,STEEL PAATHRAM,160,CASH Spends,Yes,GROCERIES,,
30-01-17,12:59 PM,MEDICINE,115,CASH Spends,Yes,HEALTH,,
30-01-17,12:59 PM,MEDICINE LF,270,CASH Spends,Yes,HEALTH,,
30-01-17,01:00 PM,BREAKFAST,100,CASH Spends,Yes,FOOD & DRINKS,,
30-01-17,01:44 PM,HOTEL RUKMINI,280,CitiBank credit 4456,Yes,FOOD & DRINKS,,
30-01-17,02:47 PM,LITTLE FLOWER HOSPIT,960,CitiBank credit 4456,Yes,HEALTH,,
31-01-17,12:00 PM,EB,666,CASH Spends,Yes,BILLS,,
31-01-17,12:00 PM,MAINTENANCE,"2,227",CASH Spends,Yes,BILLS,,
31-01-17,12:00 PM,MILK,638,CASH Spends,Yes,BILLS,,
31-01-17,12:00 PM,BAI SALARY,600,CASH Spends,Yes,BILLS,,
31-01-17,12:00 PM,RENT,"10,000",CASH Spends,Yes,BILLS,,
31-01-17,04:58 PM,TEA,28,CASH Spends,Yes,FOOD & DRINKS,,
31-01-17,04:58 PM,TEA AND BREAKFAST,100,CASH Spends,Yes,FOOD & DRINKS,,
31-01-17,04:58 PM,LUNXH,140,CASH Spends,Yes,FOOD & DRINKS,,
01-02-17,06:44 AM,ATM,"2,500",CitiBank debit 8448,No,,,
01-02-17,07:29 AM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
01-02-17,07:39 AM,BREAKFAST,98,CASH Spends,Yes,FOOD & DRINKS,,
01-02-17,01:44 PM,RPSL,51,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
01-02-17,01:45 PM,JIO CENTRE,51,JioMoney  Unknown,Yes,SHOPPING,,301003988110
01-02-17,06:37 PM,RPSL,102,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
01-02-17,09:50 PM,HOTEL RUKMINI,400,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-02-17,11:10 PM,DINNER,43,CASH Spends,Yes,FOOD & DRINKS,,
01-02-17,11:10 PM,BREAKFAST,48,CASH Spends,Yes,FOOD & DRINKS,,
01-02-17,11:10 PM,LUNCH,98,CASH Spends,Yes,FOOD & DRINKS,,
02-02-17,12:00 PM,DINNER,50,CASH Spends,Yes,FOOD & DRINKS,,
02-02-17,12:00 PM,DINNER,130,CASH Spends,Yes,FOOD & DRINKS,,
02-02-17,12:00 PM,BREAKFAST,136,CASH Spends,Yes,FOOD & DRINKS,,
03-02-17,09:11 AM,BREAKFAST,126,CASH Spends,Yes,FOOD & DRINKS,,
03-02-17,12:00 PM,DINNEE,120,CASH Spends,Yes,FOOD & DRINKS,,
04-02-17,07:37 AM,BREAKFAST,118,CASH Spends,Yes,FOOD & DRINKS,,
04-02-17,08:25 AM,NET BANKING,"10,000",HDFC  5463,No,UNKNOWN,,TPT
04-02-17,12:00 PM,VEG,126,CASH Spends,Yes,GROCERIES,,
04-02-17,01:27 PM,NET BANKING,"1,000",HDFC  5463,No,UNKNOWN,,TPT
04-02-17,01:29 PM,NET BANKING,"9,000",HDFC  5463,No,UNKNOWN,,TPT
04-02-17,05:02 PM,LITTLE FLOWER HOSPIT,"9,120",CitiBank credit 4456,Yes,HEALTH,,Insurance
04-02-17,05:19 PM,MEDS,210,CASH Spends,Yes,HEALTH,,
05-02-17,09:39 AM,GOOGLE *SERVICES,50,HDFC credit 2721,Yes,BILLS,#Online,
05-02-17,09:39 AM,GOOGLE *SERVICES,50,CitiBank credit 4456,Yes,BILLS,#Online,
05-02-17,09:54 AM,GOOGLE *SERVICES,-50,HDFC credit 2721,Yes,BILLS,#Online,
05-02-17,11:01 AM,IRCTC,"1,060",CitiBank credit 4456,No,TRAVEL,#Online,
05-02-17,07:30 PM,VEG,267,CASH Spends,Yes,GROCERIES,,
06-02-17,03:11 PM,JIO CENTRE,51,JioMoney  Unknown,Yes,SHOPPING,,201004267220
07-02-17,06:07 PM,PRIYAS,"2,162.78",HDFC credit 2721,Yes,FUEL,,
07-02-17,07:50 PM,TOLL,95,CASH Spends,Yes,TRAVEL,,
07-02-17,07:50 PM,DINNER,263,CASH Spends,Yes,FOOD & DRINKS,,
08-02-17,11:20 AM,THANGALAKSHMI JEWELLER,"12,959.2",HDFC credit 2721,Yes,SHOPPING,,
09-02-17,12:00 PM,DINNER,93,CASH Spends,Yes,FOOD & DRINKS,,
10-02-17,08:15 AM,BREAKFASTS,131,CASH Spends,Yes,FOOD & DRINKS,,
10-02-17,01:54 PM,LUNXH,170,CASH Spends,Yes,FOOD & DRINKS,,
10-02-17,10:21 PM,AMAZON,775,HDFC credit 2721,Yes,SHOPPING,#Online,
11-02-17,10:21 AM,BREAKFAST,82,CASH Spends,Yes,FOOD & DRINKS,,
11-02-17,12:36 PM,SREE RADHAKRISHNA PRASADA,390,HDFC credit 2721,Yes,FOOD & DRINKS,,
11-02-17,01:44 PM,KSEB,672.53,HDFC credit 2721,Yes,BILLS,#Online,
11-02-17,01:49 PM,NET BANKING,670.6,HDFC  5463,No,UNKNOWN,,an online payment
11-02-17,02:44 PM,JIO CENTRE,51,JioMoney  Unknown,Yes,SHOPPING,,301004433523
11-02-17,02:48 PM,RPSL,102,HDFC credit 2721,Yes,ENTERTAINMENT,#Online,
11-02-17,06:23 PM,KARTHIKA SUPERMARKET & BAKERY,719,HDFC credit 2721,Yes,SHOPPING,,
11-02-17,08:16 PM,PAID STANDARD CREDIT (1570),922.17,CitiBank debit 3018,No,BILLS,,
12-02-17,10:48 PM,LUNCH,135,CASH Spends,Yes,FOOD & DRINKS,,
12-02-17,10:48 PM,BREAKFAST,66,CASH Spends,Yes,FOOD & DRINKS,,
12-02-17,10:51 PM,TEA,98,CASH Spends,Yes,FOOD & DRINKS,,
13-02-17,01:49 PM,MOTHER HOSPITAL P LTD.,"4,095",HDFC credit 2721,Yes,HEALTH,,Chances that 15586 insurance cover will be ready soon.
14-02-17,08:12 AM,SPENT,275.43,StanC credit 1570,No,TRAVEL,,
14-02-17,09:38 AM,BR EAKFAST,180,CASH Spends,Yes,FOOD & DRINKS,,
14-02-17,11:21 AM,SPENT,229.4,StanC credit 1570,No,TRAVEL,,
14-02-17,12:33 PM,SPENT,177.2,StanC credit 1570,No,TRAVEL,,
14-02-17,07:33 PM,SPENT,86.8,StanC credit 1570,No,TRAVEL,,
14-02-17,09:03 PM,SPENT,188.54,StanC credit 1570,No,UNKNOWN,,
15-02-17,12:00 PM,DINNER,110,CASH Spends,Yes,FOOD & DRINKS,,
16-02-17,10:43 PM,SPENT,500,StanC credit 1570,No,UNKNOWN,,
18-02-17,02:24 PM,KUTTANAD RESTAURANT,140.5,HDFC credit 2721,Yes,FOOD & DRINKS,,
18-02-17,06:33 PM,SPENT,2,StanC credit 1570,No,UNKNOWN,,
18-02-17,10:10 PM,DINNEE,115,CASH Spends,Yes,FOOD & DRINKS,,
19-02-17,04:59 PM,TEA,10,CASH Spends,Yes,FOOD & DRINKS,,
19-02-17,04:59 PM,LUNCH,140,CASH Spends,Yes,FOOD & DRINKS,,
22-02-17,09:05 AM,NET BANKING,"20,000",HDFC  5463,No,UNKNOWN,,TPT
22-02-17,01:52 PM,KOTTARAM,175,CitiBank credit 4456,Yes,FOOD & DRINKS,,
23-02-17,10:30 AM,FOOD AND OTHER EXPENSES,600,CASH Spends,Yes,FOOD & DRINKS,,Settlement to Aneeah
24-02-17,05:42 PM,SPENT,92.87,StanC credit 1570,No,UNKNOWN,,
24-02-17,05:56 PM,SPENT,50,StanC credit 1570,No,UNKNOWN,,
25-02-17,11:56 AM,BOOKMYSHOW,104.5,HDFC credit 2721,Yes,ENTERTAINMENT,#Online,
25-02-17,03:59 PM,SRI ARAVINDER CO,250,CitiBank credit 4456,Yes,FUEL,,
25-02-17,05:18 PM,SPENT,106.83,StanC credit 1570,No,UNKNOWN,,
25-02-17,06:21 PM,SPENT,162.3,StanC credit 1570,No,UNKNOWN,,
26-02-17,01:00 PM,SNACKS,540,CASH Spends,Yes,GROCERIES,,
27-02-17,10:31 AM,BSNLPOST,"1,374",CitiBank credit 4456,Yes,BILLS,,
27-02-17,05:19 PM,CAR SERVICE CHARGE.,"1,858",HDFC  5463,Yes,BILLS,,0084073000004231@SIBL0000084.ifsc.npci. Car service charge
27-02-17,05:20 PM,BANK ACCOUNT - XXXXXXXXXXXX4231,"1,858",PhonePe  Unknown,No,UNKNOWN,,
27-02-17,10:02 PM,PETROL,500,CASH Spends,Yes,FUEL,,
28-02-17,09:42 AM,BIKE INSURANCE,"1,800",CASH Spends,Yes,BILLS,,
